file,dft,c,bv,ang,fold
151.vasp,-4642.52926328,344,0.68157,36,4
152.vasp,-4642.56179056,348,0.64727,32,1
153.vasp,-4642.78191026,296,0.28724,30,3
154.vasp,-4642.61969125,324,0.62403,32,1
155.vasp,-4642.60857647,332,0.60492,30,3
156.vasp,-4642.61084089,332,0.61059,32,5
157.vasp,-4642.63933225,320,0.58742,32,3
158.vasp,-4642.68920065,320,0.55925,28,2
159.vasp,-4642.61432567,324,0.61322,34,3
16.vasp,-4642.59994799,332,0.63291,32,4
160.vasp,-4642.6056542,332,0.62713,32,2
161.vasp,-4642.6704708,316,0.56318,30,5
162.vasp,-4642.61635127,332,0.62225,30,3
163.vasp,-4642.70623234,320,0.45366,30,4
164.vasp,-4642.6226837,320,0.61868,32,2
165.vasp,-4642.66291601,320,0.5689,30,3
166.vasp,-4642.60815459,328,0.64709,32,5
167.vasp,-4642.64438722,320,0.59036,32,5
168.vasp,-4642.55316774,344,0.65459,34,5
169.vasp,-4642.58077132,344,0.61926,32,3
17.vasp,-4642.60341843,328,0.64525,32,4
170.vasp,-4642.58644913,336,0.62691,32,4
171.vasp,-4642.57568543,336,0.6389,32,5
172.vasp,-4642.62188294,324,0.59657,30,1
173.vasp,-4642.63866816,328,0.6187,30,2
174.vasp,-4642.65679101,320,0.56218,28,4
175.vasp,-4642.59620412,324,0.57848,33,1
176.vasp,-4642.63292179,328,0.59929,30,1
177.vasp,-4642.54387294,320,0.61046,40,3
178.vasp,-4642.62235261,320,0.59254,34,1
179.vasp,-4642.65758567,316,0.57688,32,5
18.vasp,-4642.65481544,324,0.56225,30,2
180.vasp,-4642.6706912,324,0.5818,28,2
181.vasp,-4642.62804004,328,0.60957,30,2
182.vasp,-4642.6340173,328,0.61074,30,5
183.vasp,-4642.58293791,332,0.64403,33,4
184.vasp,-4642.60655314,328,0.6431,32,3
185.vasp,-4642.58558441,336,0.64093,32,2
186.vasp,-4642.59330011,340,0.6269,30,4
187.vasp,-4642.65157762,320,0.56819,28,5
188.vasp,-4642.59798474,332,0.60235,32,5
189.vasp,-4642.56075084,332,0.6346,34,2
19.vasp,-4642.62736923,324,0.57932,34,2
190.vasp,-4642.65920117,316,0.59368,30,1
191.vasp,-4642.5698672,332,0.65466,34,4
192.vasp,-4642.56347286,332,0.656,32,2
193.vasp,-4642.58590654,332,0.62682,34,2
194.vasp,-4642.62553283,332,0.617,30,5
195.vasp,-4642.62281723,324,0.62855,32,3
196.vasp,-4642.6252322,320,0.59202,32,5
197.vasp,-4642.59085496,332,0.59908,30,5
198.vasp,-4642.60312419,324,0.62557,34,1
199.vasp,-4642.58384422,332,0.63461,34,1
2.vasp,-4642.60841283,324,0.61248,32,3
20.vasp,-4642.60179569,332,0.61436,32,2
200.vasp,-4642.68366883,312,0.54326,28,3
201.vasp,-4642.62581859,320,0.6062,32,5
202.vasp,-4642.5902061,336,0.62926,32,2
203.vasp,-4642.60002823,320,0.589,34,1
204.vasp,-4642.59028057,336,0.63228,32,2
205.vasp,-4642.65103437,324,0.5817,30,3
206.vasp,-4642.6218928,328,0.58234,30,2
207.vasp,-4642.5816516,324,0.65678,34,5
208.vasp,-4642.60295174,336,0.61712,32,3
209.vasp,-4642.66562736,324,0.59443,28,3
21.vasp,-4642.62186571,328,0.61876,32,5
210.vasp,-4642.61744927,332,0.62199,30,2
211.vasp,-4642.54961491,348,0.68438,32,1
212.vasp,-4642.53109567,344,0.69033,34,3
213.vasp,-4642.59158467,332,0.61085,32,1
214.vasp,-4642.65004183,320,0.59597,30,2
215.vasp,-4642.67914995,316,0.53157,28,1
216.vasp,-4642.6802287,324,0.59209,28,3
217.vasp,-4642.71436132,320,0.4983,24,2
218.vasp,-4642.6169009,320,0.58011,30,1
219.vasp,-4642.6136642,320,0.62591,32,4
22.vasp,-4642.59330853,324,0.63219,32,1
220.vasp,-4642.65471527,324,0.57589,30,1
221.vasp,-4642.60206878,324,0.60629,34,5
222.vasp,-4642.63983524,320,0.57503,32,1
223.vasp,-4642.64457114,320,0.5638,32,3
224.vasp,-4642.58363583,336,0.6354,34,3
225.vasp,-4642.61690096,320,0.58011,30,4
226.vasp,-4642.57997629,340,0.64665,32,1
227.vasp,-4642.61635127,332,0.62225,30,5
228.vasp,-4642.5888449,336,0.61352,32,5
229.vasp,-4642.65022496,324,0.594,30,2
23.vasp,-4642.59381472,324,0.59683,30,3
230.vasp,-4642.57809031,340,0.64027,32,5
231.vasp,-4642.6248852,320,0.57794,32,2
232.vasp,-4642.67943358,316,0.53733,28,4
233.vasp,-4642.65184373,324,0.58362,30,2
234.vasp,-4642.66094517,320,0.5295,28,1
235.vasp,-4642.62140443,316,0.57077,32,1
236.vasp,-4642.60758553,320,0.57897,32,3
237.vasp,-4642.64829517,324,0.58641,30,4
238.vasp,-4642.59760213,332,0.63153,34,5
239.vasp,-4642.64580537,328,0.60389,28,2
24.vasp,-4642.60565426,332,0.62713,32,3
240.vasp,-4642.61561534,332,0.62472,30,2
241.vasp,-4642.65636627,316,0.55436,30,2
242.vasp,-4642.6340084,324,0.59621,32,1
243.vasp,-4642.59659908,336,0.63906,34,5
244.vasp,-4642.60907043,332,0.62071,30,3
245.vasp,-4642.64590579,316,0.55152,32,3
246.vasp,-4642.68526963,312,0.53498,28,2
247.vasp,-4642.60517709,328,0.60182,32,4
248.vasp,-4642.61017323,320,0.62911,34,4
249.vasp,-4642.57408873,328,0.63312,34,1
25.vasp,-4642.6514567,324,0.58914,30,2
250.vasp,-4642.57044117,340,0.62825,34,1
251.vasp,-4642.48423545,356,0.7509,36,3
252.vasp,-4642.61673924,328,0.61282,32,5
253.vasp,-4642.63684305,320,0.58239,30,2
254.vasp,-4642.61858866,328,0.62462,30,2
255.vasp,-4642.57845727,336,0.63101,36,4
256.vasp,-4642.56551324,340,0.6301,32,4
257.vasp,-4642.53582615,348,0.6655,34,4
258.vasp,-4642.57622713,332,0.65008,34,4
259.vasp,-4642.65900631,320,0.5572,28,1
26.vasp,-4642.56103729,324,0.61682,38,5
260.vasp,-4642.65190331,324,0.56905,28,5
261.vasp,-4642.66324977,320,0.56216,30,3
262.vasp,-4642.56123444,332,0.65244,32,5
263.vasp,-4642.65098967,324,0.59208,30,1
264.vasp,-4642.63232108,324,0.64079,30,5
265.vasp,-4642.62348975,312,0.57014,30,1
266.vasp,-4642.57562205,336,0.6299,34,4
267.vasp,-4642.62254799,320,0.60345,32,2
268.vasp,-4642.63365563,320,0.6027,32,5
269.vasp,-4642.60007386,336,0.61007,30,5
27.vasp,-4642.6651685,320,0.53713,26,1
270.vasp,-4642.52716932,352,0.68906,32,5
271.vasp,-4642.62367562,328,0.59281,32,5
272.vasp,-4642.49192605,336,0.70847,38,5
273.vasp,-4642.57243633,340,0.66989,34,1
274.vasp,-4642.56070425,340,0.67336,34,4
275.vasp,-4642.64894072,320,0.57271,30,4
276.vasp,-4642.56070127,340,0.6735,34,4
277.vasp,-4642.55285867,320,0.65565,36,2
278.vasp,-4642.58384422,332,0.63461,34,2
279.vasp,-4642.65213957,320,0.57548,32,1
28.vasp,-4642.61592263,332,0.59616,32,1
280.vasp,-4642.64346266,324,0.58364,30,3
281.vasp,-4642.61095246,328,0.63635,32,3
282.vasp,-4642.62924352,324,0.60481,32,4
283.vasp,-4642.68481774,312,0.52407,28,1
284.vasp,-4642.66527121,320,0.58851,28,5
285.vasp,-4642.63550988,324,0.60687,30,2
286.vasp,-4642.46451059,348,0.74844,38,1
287.vasp,-4642.6323414,324,0.60692,30,1
288.vasp,-4642.77961085,296,0.27574,30,5
289.vasp,-4642.66549864,320,0.57224,30,1
29.vasp,-4642.5811536,324,0.62829,36,2
290.vasp,-4642.59639922,336,0.63686,32,4
291.vasp,-4642.55316884,344,0.6546,34,2
292.vasp,-4642.6439541,328,0.5754,28,3
293.vasp,-4642.64470749,328,0.60339,30,5
294.vasp,-4642.69386298,312,0.53239,28,1
295.vasp,-4642.49192617,336,0.70848,38,3
296.vasp,-4642.62439676,324,0.61481,32,5
297.vasp,-4642.68301954,312,0.52418,28,3
298.vasp,-4642.64752889,320,0.57554,28,5
299.vasp,-4642.61168693,320,0.59639,34,1
3.vasp,-4642.56140395,344,0.64612,34,4
30.vasp,-4642.60024711,324,0.63701,34,1
300.vasp,-4642.62062451,328,0.62245,30,2
301.vasp,-4642.61989596,316,0.61026,32,5
302.vasp,-4642.52155126,336,0.67746,34,1
303.vasp,-4642.65674769,316,0.5922,30,2
304.vasp,-4642.62792222,324,0.61047,34,2
305.vasp,-4642.65006727,324,0.59336,30,2
306.vasp,-4642.61165209,324,0.60829,34,5
307.vasp,-4642.78190916,296,0.28724,30,1
308.vasp,-4642.67587138,316,0.53076,30,1
309.vasp,-4642.64530761,324,0.62505,30,4
31.vasp,-4642.66848233,312,0.52152,34,5
310.vasp,-4642.59224287,320,0.61793,36,3
311.vasp,-4642.57015745,324,0.65304,34,1
312.vasp,-4642.63732222,328,0.58523,30,1
313.vasp,-4642.65607983,316,0.54856,32,3
314.vasp,-4642.6841726,320,0.57411,28,1
315.vasp,-4642.64944394,324,0.59021,30,4
316.vasp,-4642.77139909,304,0.33505,26,2
317.vasp,-4642.6596811,324,0.58531,28,3
318.vasp,-4642.60288229,332,0.58809,34,4
319.vasp,-4642.60360597,336,0.63533,28,4
32.vasp,-4642.61846174,328,0.60768,32,3
320.vasp,-4642.66197987,320,0.54286,28,4
321.vasp,-4642.54702353,344,0.68179,34,2
322.vasp,-4642.64814472,316,0.5737,30,2
323.vasp,-4642.62696199,320,0.5892,34,3
324.vasp,-4642.64016405,324,0.5841,32,1
325.vasp,-4642.66074448,316,0.54615,32,5
326.vasp,-4642.52716934,352,0.68906,32,1
327.vasp,-4642.61616487,328,0.58693,32,4
328.vasp,-4642.63229708,324,0.59336,32,4
329.vasp,-4642.59769704,320,0.63361,34,5
33.vasp,-4642.63830086,324,0.59314,32,5
330.vasp,-4642.65829979,316,0.56918,28,1
331.vasp,-4642.61481307,328,0.61989,32,3
332.vasp,-4642.64541178,320,0.56211,32,3
333.vasp,-4642.6036245,324,0.61857,34,2
334.vasp,-4642.69297453,320,0.57842,28,4
335.vasp,-4642.63732222,328,0.58523,30,1
336.vasp,-4642.59115581,328,0.63355,34,1
337.vasp,-4642.62329517,324,0.61657,32,5
338.vasp,-4642.67271283,320,0.58026,28,2
339.vasp,-4642.62936381,328,0.60875,30,4
34.vasp,-4642.6002255,332,0.66731,27,4
340.vasp,-4642.61942004,324,0.60407,34,5
341.vasp,-4642.51506006,348,0.69302,36,1
342.vasp,-4642.59992124,320,0.62444,32,3
343.vasp,-4642.67271244,320,0.58033,28,5
344.vasp,-4642.46604796,348,0.75833,38,4
345.vasp,-4642.64530761,324,0.62505,30,2
346.vasp,-4642.66989591,320,0.58259,28,2
347.vasp,-4642.64447254,324,0.59934,30,4
348.vasp,-4642.59195074,336,0.6049,32,2
349.vasp,-4642.64239016,316,0.58897,32,5
35.vasp,-4642.64098917,312,0.54417,34,4
350.vasp,-4642.63807713,324,0.60439,30,3
351.vasp,-4642.6262451,324,0.57725,32,2
352.vasp,-4642.59816839,336,0.62215,32,1
353.vasp,-4642.62026114,316,0.56677,32,5
354.vasp,-4642.62553278,332,0.617,30,4
355.vasp,-4642.54725885,340,0.67073,36,3
356.vasp,-4642.6444212,324,0.58404,30,1
357.vasp,-4642.58421722,332,0.62261,34,5
358.vasp,-4642.78190912,296,0.28724,30,2
359.vasp,-4642.66200611,320,0.55574,28,1
36.vasp,-4642.63055422,320,0.55522,32,5
360.vasp,-4642.68905281,320,0.55302,26,3
361.vasp,-4642.662352,324,0.58633,28,3
362.vasp,-4642.61402955,332,0.61582,32,5
363.vasp,-4642.64223104,320,0.60516,32,4
364.vasp,-4642.58950847,328,0.6486,34,4
365.vasp,-4642.66600601,304,0.47922,40,3
366.vasp,-4642.66683994,324,0.58809,28,4
367.vasp,-4642.63731921,324,0.59723,30,4
368.vasp,-4642.62676261,328,0.61566,30,4
369.vasp,-4642.67406877,320,0.55273,26,1
37.vasp,-4642.64705612,324,0.56878,28,4
370.vasp,-4642.63536077,328,0.57782,28,5
371.vasp,-4642.60835634,332,0.60866,30,3
372.vasp,-4642.57640475,328,0.65037,34,4
373.vasp,-4642.63177337,320,0.60679,32,1
374.vasp,-4642.66745455,320,0.54228,28,1
375.vasp,-4642.67825185,312,0.53856,30,4
376.vasp,-4642.54874689,328,0.67346,36,4
377.vasp,-4642.67587138,316,0.53076,30,5
378.vasp,-4642.61616663,328,0.58684,32,1
379.vasp,-4642.59769704,320,0.63361,34,5
38.vasp,-4642.60950467,328,0.62822,32,2
380.vasp,-4642.64442114,324,0.58404,30,3
381.vasp,-4642.6672455,316,0.5343,30,1
382.vasp,-4642.65240238,312,0.53213,34,2
383.vasp,-4642.66002056,320,0.56222,30,4
384.vasp,-4642.59145403,336,0.60964,32,2
385.vasp,-4642.61770035,328,0.60596,32,2
386.vasp,-4642.59349508,328,0.65155,34,5
387.vasp,-4642.59796273,320,0.62572,32,3
388.vasp,-4642.66281146,316,0.55612,30,5
389.vasp,-4642.67755463,316,0.5366,28,4
39.vasp,-4642.61041784,332,0.62576,32,1
390.vasp,-4642.61977222,328,0.61055,32,5
391.vasp,-4642.63471988,328,0.61572,30,1
392.vasp,-4642.58934265,332,0.62865,34,2
393.vasp,-4642.58770331,332,0.62241,32,3
394.vasp,-4642.64370849,324,0.59311,30,5
395.vasp,-4642.56507927,336,0.64113,34,4
396.vasp,-4642.6706912,324,0.5818,28,1
397.vasp,-4642.52305337,332,0.66697,38,1
398.vasp,-4642.55473291,336,0.68926,33,1
399.vasp,-4642.61883612,324,0.57217,30,3
4.vasp,-4642.65918831,316,0.54228,32,1
40.vasp,-4642.65158105,320,0.56804,28,5
400.vasp,-4642.52047647,352,0.69991,34,2
401.vasp,-4642.540797,348,0.65232,34,2
402.vasp,-4642.58573317,332,0.64292,34,4
403.vasp,-4642.61254679,328,0.58958,32,5
404.vasp,-4642.70081204,316,0.53676,26,4
405.vasp,-4642.62399417,320,0.5742,32,2
406.vasp,-4642.68700464,316,0.54135,26,5
407.vasp,-4642.66988214,320,0.5793,28,3
408.vasp,-4642.6591883,316,0.54228,32,5
409.vasp,-4642.77961086,296,0.27574,30,5
41.vasp,-4642.62676505,328,0.61565,30,3
410.vasp,-4642.63256589,328,0.58174,28,2
411.vasp,-4642.61592263,332,0.59616,32,2
412.vasp,-4642.62039772,324,0.62017,34,3
413.vasp,-4642.58384428,332,0.63461,34,1
414.vasp,-4642.58726011,324,0.61902,34,5
415.vasp,-4642.59666265,328,0.62165,32,2
416.vasp,-4642.63490572,328,0.59363,30,5
417.vasp,-4642.66611412,320,0.56768,30,3
418.vasp,-4642.61204181,328,0.59051,32,2
419.vasp,-4642.58188401,336,0.65196,31,4
42.vasp,-4642.61044013,324,0.61208,32,2
420.vasp,-4642.61559943,328,0.63145,32,5
421.vasp,-4642.64707144,320,0.57583,32,3
422.vasp,-4642.67378746,316,0.54315,30,2
423.vasp,-4642.64097732,324,0.63275,29,1
424.vasp,-4642.66200611,320,0.55574,28,5
425.vasp,-4642.59933238,328,0.59051,32,2
426.vasp,-4642.64529075,320,0.57586,31,4
427.vasp,-4642.53522039,344,0.70306,34,4
428.vasp,-4642.63602193,324,0.59025,30,2
429.vasp,-4642.57213056,344,0.64864,32,4
43.vasp,-4642.63441221,324,0.58805,28,2
430.vasp,-4642.64693548,320,0.56958,32,2
431.vasp,-4642.63365195,320,0.60286,32,4
432.vasp,-4642.63175615,320,0.60709,32,2
433.vasp,-4642.54875733,344,0.68588,32,2
434.vasp,-4642.6351205,324,0.59421,28,1
435.vasp,-4642.55589193,348,0.67446,34,4
436.vasp,-4642.64607678,320,0.57644,32,4
437.vasp,-4642.627632,324,0.60471,34,4
438.vasp,-4642.63725888,320,0.59299,32,5
439.vasp,-4642.62083387,324,0.61406,32,4
44.vasp,-4642.62477158,324,0.59345,30,3
440.vasp,-4642.59153273,328,0.619,34,3
441.vasp,-4642.64438551,320,0.59043,32,4
442.vasp,-4642.57027991,340,0.6688,33,1
443.vasp,-4642.62539364,320,0.59933,32,2
444.vasp,-4642.62223425,328,0.62123,30,2
445.vasp,-4642.67573575,316,0.53369,28,3
446.vasp,-4642.6216365,320,0.57957,34,5
447.vasp,-4642.65323908,328,0.59048,28,1
448.vasp,-4642.64174341,320,0.63596,30,3
449.vasp,-4642.62462958,324,0.6207,32,5
45.vasp,-4642.78233363,300,0.3422,28,3
450.vasp,-4642.56925691,340,0.65253,34,1
451.vasp,-4642.6150439,324,0.59298,32,4
452.vasp,-4642.61717993,332,0.61378,30,2
453.vasp,-4642.63709842,328,0.58421,30,1
454.vasp,-4642.5659688,340,0.65365,34,1
455.vasp,-4642.67154548,320,0.58554,28,5
456.vasp,-4642.63266044,324,0.62792,30,5
457.vasp,-4642.62833028,324,0.58814,30,3
458.vasp,-4642.66598986,320,0.55377,30,3
459.vasp,-4642.64421808,324,0.58095,30,1
46.vasp,-4642.52879528,328,0.6428,35,3
460.vasp,-4642.56559331,340,0.64007,34,2
461.vasp,-4642.59131053,324,0.63908,33,4
462.vasp,-4642.56048271,332,0.66449,34,5
463.vasp,-4642.49192612,336,0.70847,38,2
464.vasp,-4642.57325671,336,0.65377,34,4
465.vasp,-4642.6434404,328,0.57787,28,5
466.vasp,-4642.59901299,324,0.62952,32,5
467.vasp,-4642.76433659,300,0.31877,30,3
468.vasp,-4642.75021164,304,0.40301,30,3
469.vasp,-4642.76433504,300,0.3189,30,5
47.vasp,-4642.66414133,324,0.57346,28,4
470.vasp,-4642.58501862,340,0.67646,30,4
471.vasp,-4642.67914996,316,0.53157,28,5
472.vasp,-4642.59116811,328,0.61679,34,2
473.vasp,-4642.62519799,328,0.5897,30,4
474.vasp,-4642.62361087,328,0.61642,30,3
475.vasp,-4642.55644739,348,0.65206,31,2
476.vasp,-4642.64705624,324,0.56877,28,3
477.vasp,-4642.64123452,324,0.61104,30,1
478.vasp,-4642.5489885,324,0.64208,38,2
479.vasp,-4642.62881921,328,0.61257,30,1
48.vasp,-4642.57998975,336,0.61992,34,2
480.vasp,-4642.63266042,324,0.62792,30,2
481.vasp,-4642.57233297,344,0.64337,32,5
