file,dft,c,bv,ang,fold
0.vasp,-4001.93331366,288,0.47795,32,1
1.vasp,-4001.61372317,320,0.61273,48,5
10.vasp,-4001.74175919,324,0.69191,42,5
100.vasp,-4001.77866316,328,0.71836,40,1
101.vasp,-4001.77233647,328,0.71822,38,3
102.vasp,-4001.77233936,328,0.71827,38,5
103.vasp,-4001.77915889,320,0.64472,38,3
104.vasp,-4001.77917338,320,0.64382,38,2
105.vasp,-4001.76327848,332,0.7334,38,5
106.vasp,-4001.76326205,332,0.73283,38,5
107.vasp,-4001.77203072,324,0.64531,38,1
108.vasp,-4001.77204304,324,0.64515,38,5
109.vasp,-4001.77094515,328,0.70481,40,2
11.vasp,-4001.74176757,324,0.69217,42,1
110.vasp,-4001.77233334,328,0.71855,38,1
111.vasp,-4001.77233413,328,0.71862,38,1
112.vasp,-4001.77916096,320,0.64403,38,4
113.vasp,-4001.7791845,320,0.64374,38,2
114.vasp,-4001.76327163,332,0.73281,38,5
115.vasp,-4001.76324267,332,0.7327,38,3
116.vasp,-4001.77202647,324,0.6449,38,1
117.vasp,-4001.77202771,324,0.64474,38,4
118.vasp,-4001.77233211,328,0.71844,38,1
119.vasp,-4001.77233468,328,0.71858,38,3
12.vasp,-4001.74553232,320,0.66505,42,2
120.vasp,-4001.77914019,320,0.64442,38,5
121.vasp,-4001.7791622,320,0.64376,38,5
122.vasp,-4001.76327116,332,0.72329,38,3
123.vasp,-4001.76325152,332,0.7329,38,4
124.vasp,-4001.77205637,324,0.64503,38,4
125.vasp,-4001.77204502,324,0.64484,38,3
126.vasp,-4001.75903897,336,0.7108,40,1
127.vasp,-4001.77149848,328,0.65641,40,5
128.vasp,-4001.77623521,324,0.6048,38,5
129.vasp,-4001.75548297,336,0.6475,40,1
13.vasp,-4001.74555768,320,0.66494,42,2
130.vasp,-4001.7701235,332,0.63721,38,5
131.vasp,-4001.77589914,324,0.66056,38,4
132.vasp,-4001.77360982,324,0.65093,38,2
133.vasp,-4001.77623429,324,0.60499,38,4
134.vasp,-4001.77146794,328,0.6696,40,2
135.vasp,-4001.77012637,332,0.63721,38,2
136.vasp,-4001.7554937,336,0.6472,40,3
137.vasp,-4001.77362207,324,0.65112,38,2
138.vasp,-4001.77590918,324,0.66026,38,5
139.vasp,-4001.78159751,320,0.59086,40,2
14.vasp,-4001.74174904,324,0.7215,42,4
140.vasp,-4001.77585662,324,0.66064,38,2
141.vasp,-4001.77360645,324,0.65088,38,4
142.vasp,-4001.76776958,320,0.65251,40,2
143.vasp,-4001.77902489,316,0.6594,38,2
144.vasp,-4001.77360163,324,0.65104,38,4
145.vasp,-4001.77582706,324,0.6605,38,4
146.vasp,-4001.77906835,316,0.65957,38,3
147.vasp,-4001.76774668,320,0.65335,40,1
148.vasp,-4001.75904097,336,0.71021,40,3
149.vasp,-4001.77151025,328,0.66963,40,2
15.vasp,-4001.74173119,324,0.72224,42,4
150.vasp,-4001.77622306,324,0.6046,38,1
151.vasp,-4001.7762123,324,0.60516,38,2
152.vasp,-4001.77151023,328,0.6827,40,1
153.vasp,-4001.78158928,320,0.59155,40,1
154.vasp,-4001.73450859,324,0.69156,42,2
155.vasp,-4001.73831654,320,0.66499,42,3
156.vasp,-4001.7345204,324,0.69178,42,4
157.vasp,-4001.73832134,320,0.66457,42,3
158.vasp,-4001.73450799,324,0.721,42,3
159.vasp,-4001.73834675,320,0.66512,42,2
16.vasp,-4001.74555584,320,0.68192,42,5
160.vasp,-4001.73449189,324,0.69188,42,1
161.vasp,-4001.73834177,320,0.66427,42,5
162.vasp,-4001.73831467,320,0.66499,42,4
163.vasp,-4001.73832854,320,0.66484,42,1
164.vasp,-4001.7344757,324,0.69233,42,5
165.vasp,-4001.73450917,324,0.67682,42,1
166.vasp,-4001.73833914,320,0.66479,42,3
167.vasp,-4001.73833757,320,0.6647,42,3
168.vasp,-4001.73448435,324,0.69171,42,5
169.vasp,-4001.73450906,324,0.70691,42,3
17.vasp,-4001.74557226,320,0.66475,42,3
