file,dft,c,bv,ang
138.vasp,-4642.76595027,300,0.30066,30
139.vasp,-4642.5610373,324,0.61682,38
140.vasp,-4642.67587139,316,0.53076,30
141.vasp,-4642.61243586,316,0.61583,30
142.vasp,-4642.63537641,324,0.57072,30
143.vasp,-4642.67147318,316,0.55828,30
144.vasp,-4642.55573326,344,0.64396,34
145.vasp,-4642.66488853,320,0.56772,28
146.vasp,-4642.65189736,324,0.57746,30
147.vasp,-4642.61359929,332,0.60074,30
148.vasp,-4642.58555538,324,0.65635,34
149.vasp,-4642.57737118,344,0.63353,32
150.vasp,-4642.6388623,324,0.56859,30
151.vasp,-4642.52926328,344,0.68157,36
152.vasp,-4642.56179056,348,0.64727,32
153.vasp,-4642.78191026,296,0.28724,30
154.vasp,-4642.61969125,324,0.62403,32
155.vasp,-4642.60857647,332,0.60492,30
156.vasp,-4642.61084089,332,0.61059,32
157.vasp,-4642.63933225,320,0.58742,32
158.vasp,-4642.68920065,320,0.55925,28
159.vasp,-4642.61432567,324,0.61322,34
160.vasp,-4642.6056542,332,0.62713,32
161.vasp,-4642.6704708,316,0.56318,30
162.vasp,-4642.61635127,332,0.62225,30
163.vasp,-4642.70623234,320,0.45366,30
164.vasp,-4642.6226837,320,0.61868,32
165.vasp,-4642.66291601,320,0.5689,30
166.vasp,-4642.60815459,328,0.64709,32
167.vasp,-4642.64438722,320,0.59036,32
168.vasp,-4642.55316774,344,0.65459,34
169.vasp,-4642.58077132,344,0.61926,32
170.vasp,-4642.58644913,336,0.62691,32
171.vasp,-4642.57568543,336,0.6389,32
172.vasp,-4642.62188294,324,0.59657,30
173.vasp,-4642.63866816,328,0.6187,30
174.vasp,-4642.65679101,320,0.56218,28
175.vasp,-4642.59620412,324,0.57848,33
176.vasp,-4642.63292179,328,0.59929,30
177.vasp,-4642.54387294,320,0.61046,40
178.vasp,-4642.62235261,320,0.59254,34
179.vasp,-4642.65758567,316,0.57688,32
180.vasp,-4642.6706912,324,0.5818,28
181.vasp,-4642.62804004,328,0.60957,30
182.vasp,-4642.6340173,328,0.61074,30
183.vasp,-4642.58293791,332,0.64403,33
184.vasp,-4642.60655314,328,0.6431,32
185.vasp,-4642.58558441,336,0.64093,32
186.vasp,-4642.59330011,340,0.6269,30
187.vasp,-4642.65157762,320,0.56819,28
188.vasp,-4642.59798474,332,0.60235,32
189.vasp,-4642.56075084,332,0.6346,34
190.vasp,-4642.65920117,316,0.59368,30
191.vasp,-4642.5698672,332,0.65466,34
192.vasp,-4642.56347286,332,0.656,32
193.vasp,-4642.58590654,332,0.62682,34
194.vasp,-4642.62553283,332,0.617,30
195.vasp,-4642.62281723,324,0.62855,32
196.vasp,-4642.6252322,320,0.59202,32
197.vasp,-4642.59085496,332,0.59908,30
198.vasp,-4642.60312419,324,0.62557,34
199.vasp,-4642.58384422,332,0.63461,34
200.vasp,-4642.68366883,312,0.54326,28
201.vasp,-4642.62581859,320,0.6062,32
202.vasp,-4642.5902061,336,0.62926,32
203.vasp,-4642.60002823,320,0.589,34
204.vasp,-4642.59028057,336,0.63228,32
205.vasp,-4642.65103437,324,0.5817,30
206.vasp,-4642.6218928,328,0.58234,30
207.vasp,-4642.5816516,324,0.65678,34
208.vasp,-4642.60295174,336,0.61712,32
209.vasp,-4642.66562736,324,0.59443,28
210.vasp,-4642.61744927,332,0.62199,30
211.vasp,-4642.54961491,348,0.68438,32
212.vasp,-4642.53109567,344,0.69033,34
213.vasp,-4642.59158467,332,0.61085,32
214.vasp,-4642.65004183,320,0.59597,30
215.vasp,-4642.67914995,316,0.53157,28
216.vasp,-4642.6802287,324,0.59209,28
217.vasp,-4642.71436132,320,0.4983,24
218.vasp,-4642.6169009,320,0.58011,30
